Measurement time,Number of CPUs cores,CPU 0 freq,CPU 1 freq,CPU 2 freq,CPU 3 freq,Free RAM,Used RAM,Total RAM,Free Swap,Used Swap,Total Swap,CPU load (1m),CPU load (5m),CPU load (15m),Number of processes,Number of bytes received,Number of bytes sent,Number of packets received,Number of packets sent
s,N/A,kHz,kHz,kHz,kHz,kB,kB,kB,kB,kB,kB,%,%,%,N/A,bytes,bytes,N/A,N/A
1570564313.6531734,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564314.653027,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564315.6528876,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,480.0,1044.0,7.0,7.0
1570564316.6530013,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564317.6517305,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564318.653336,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564319.6529732,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564320.652709,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,390.0,954.0,6.0,6.0
1570564321.65249,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564322.6526754,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
